Doc,Date,Title,Author,Disputed
48,"February 1, 1788",These Departments Should Not Be So Far Separated as to Have No Constitutional Control Over Each Other,James Madison,FALSE
49,"February 2, 1788",Method of Guarding Against the Encroachments of Any One Department of Government,James Madison,TRUE
50,"February 5, 1788",Periodic Appeals to the People Considered,James Madison,TRUE
51,"February 6, 1788",The Structure of the Government Must Furnish the Proper Checks and Balances Between the Different Departments,James Madison,TRUE
52,"February 8, 1788",The House of Representatives,James Madison,TRUE
53,"February 9, 1788",The Same Subject Continued: The House of Representatives,James Madison,TRUE
54,"February 12, 1788",The Apportionment of Members Among the States,James Madison,TRUE
55,"February 13, 1788",The Total Number of the House of Representatives,James Madison,TRUE
56,"February 16, 1788",The Same Subject Continued: The Total Number of the House of Representatives,James Madison,TRUE
57,"February 19, 1788",The Alleged Tendency of the New Plan to Elevate the Few at the Expense of the Many,James Madison,TRUE
58,"February 20, 1788",Objection That The Number of Members Will Not Be Augmented as the Progress of Population Demands Considered,James Madison,TRUE
59,"February 22, 1788",Concerning the Power of Congress to Regulate the Election of Members,Alexander Hamilton,FALSE
60,"February 23, 1788",The Same Subject Continued: Concerning the Power of Congress to Regulate the Election of Members,Alexander Hamilton,FALSE
61,"February 26, 1788",The Same Subject Continued: Concerning the Power of Congress to Regulate the Election of Members,Alexander Hamilton,FALSE
62,"February 27, 1788",The Senate,James Madison,TRUE
63,"March 1, 1788",The Senate Continued,James Madison,TRUE
64,"March 5, 1788",The Powers of the Senate,John Jay,FALSE
65,"March 7, 1788",The Powers of the Senate Continued,Alexander Hamilton,FALSE
66,"March 8, 1788",Objections to the Power of the Senate To Set as a Court for Impeachments Further Considered,Alexander Hamilton,FALSE
67,"March 11, 1788",The Executive Department,Alexander Hamilton,FALSE
68,"March 12, 1788",The Mode of Electing the President,Alexander Hamilton,FALSE
69,"March 14, 1788",The Real Character of the Executive,Alexander Hamilton,FALSE
70,"March 15, 1788",The Executive Department Further Considered,Alexander Hamilton,FALSE
71,"March 18, 1788",The Duration in Office of the Executive,Alexander Hamilton,FALSE
72,"March 19, 1788","The Same Subject Continued, and Re-Eligibility of the Executive Considered",Alexander Hamilton,FALSE
73,"March 21, 1788","The Provision For The Support of the Executive, and the Veto Power",Alexander Hamilton,FALSE
74,"March 25, 1788","The Command of the Military and Naval Forces, and the Pardoning Power of the Executive",Alexander Hamilton,FALSE
75,"March 26, 1788",The Treaty Making Power of the Executive,Alexander Hamilton,FALSE
76,"April 1, 1788",The Appointing Power of the Executive,Alexander Hamilton,FALSE
77,"April 2, 1788",The Appointing Power Continued and Other Powers of the Executive Considered,Alexander Hamilton,FALSE
78,"May 28, 1788 (book)
June 14, 1788 (newspaper)",The Judiciary Department,Alexander Hamilton,FALSE
79,"May 28, 1788 (book)
June 18, 1788 (newspaper)",The Judiciary Continued,Alexander Hamilton,FALSE
80,"June 21, 1788",The Powers of the Judiciary,Alexander Hamilton,FALSE
81,"June 25, 1788 and
June 28, 1788","The Judiciary Continued, and the Distribution of the Judicial Authority",Alexander Hamilton,FALSE
82,"July 2, 1788",The Judiciary Continued,Alexander Hamilton,FALSE
83,"July 5, 1788,
July 9, 1788 and
July 12, 1788",The Judiciary Continued in Relation to Trial by Jury,Alexander Hamilton,FALSE
84,"July 16, 1788,
July 26, 1788 and
August 9, 1788",Certain General and Miscellaneous Objections to the Constitution Considered and Answered,Alexander Hamilton,FALSE
85,"August 13, 1788 and
August 16, 1788",Concluding Remarks,Alexander Hamilton,FALSE
